PERIOD,G,W,L,RS,RA,R_G,RA_G,DIFF,HOME_W,HOME_L,AWAY_W,AWAY_L,ONE_RUN_W,ONE_RUN_L
2024,162,76,86,665,739,4.105,4.562,-74,39,42,37,44,25,26
2025,162,71,91,583,645,3.599,3.981,-62,44,37,27,54,25,35
2026_CUTOFF,103,53,50,543,492,5.272,4.777,51,27,24,26,26,14,10
