PERIOD,FRV_TOTAL,INF_OF_RUNS,RANGE_RUNS,ARM_RUNS,DP_RUNS,REC_1B_RUNS,CATCHING_RUNS,FRAMING_RUNS,THROWING_RUNS,BLOCKING_RUNS,TOP_DELTA,CATCH_DELTA
2024,-29.318,-20.204,-12.975,-2.961,0.268,-4.536,-9.114,-1.754,-5.739,-1.621,0.0,-0.0
2025,9.132,12.911,11.717,1.69,-1.505,1.01,-3.779,-4.55,2.885,-2.115,0.0,-0.0
2026_CUTOFF,-17.966,-13.319,-9.349,-2.811,0.553,-1.711,-4.647,-2.754,-0.444,-1.45,0.0,0.0
