PERIOD,ROLE,IP,H,ER,HR,BB,HBP,SO,BF,ERA,WHIP,K9,BB9,HR9,K_PCT,BB_PCT,K_BB_PCT,FIP
2024,BULLPEN,583.0,548,291,55,257,49,587,2563,4.492,1.381,9.062,3.967,0.849,22.9,10.03,12.88,3.953
2024,STARTER,855.667,821,376,111,258,36,769,3596,3.955,1.261,8.088,2.714,1.168,21.38,7.17,14.21,4.086
2025,BULLPEN,604.0,535,257,58,219,37,566,2555,3.829,1.248,8.434,3.263,0.864,22.15,8.57,13.58,3.781
2025,STARTER,826.667,732,341,95,254,36,748,3427,3.713,1.193,8.144,2.765,1.034,21.83,7.41,14.41,3.872
2026_CUTOFF,BULLPEN,394.667,356,194,49,195,30,414,1740,4.424,1.396,9.441,4.447,1.117,23.79,11.21,12.59,4.322
2026_CUTOFF,STARTER,524.333,477,241,58,175,27,529,2211,4.137,1.243,9.08,3.004,0.996,23.93,7.91,16.01,3.672
