PERIOD,P_THROWS,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA
2024,L,1600,0.241,0.311,0.39,0.323,0.312
2024,R,4496,0.232,0.298,0.365,0.307,0.312
2025,L,1472,0.22,0.295,0.34,0.292,0.304
2025,R,4549,0.235,0.308,0.354,0.307,0.309
2026_CUTOFF,L,1162,0.251,0.313,0.402,0.327,0.305
2026_CUTOFF,R,2890,0.265,0.349,0.433,0.354,0.332
