PERIOD,FAMILY,PITCHES,WHIFF_PCT,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA,RUN_VALUE
2024,FASTBALL,12979,18.17,3319,0.252,0.33,0.407,0.339,0.347,-22.0
2024,BREAKING,7483,34.81,1892,0.2,0.252,0.32,0.265,0.261,-41.5
2024,OFFSPEED,3245,33.96,859,0.243,0.285,0.352,0.295,0.279,-0.2
2025,FASTBALL,12702,16.53,3286,0.253,0.34,0.383,0.332,0.34,-72.5
2025,BREAKING,7823,32.64,1975,0.199,0.251,0.308,0.257,0.262,-57.9
2025,OFFSPEED,2978,31.59,730,0.227,0.274,0.325,0.287,0.272,3.3
2026_CUTOFF,FASTBALL,8623,19.4,2238,0.285,0.376,0.459,0.38,0.352,42.5
2026_CUTOFF,BREAKING,4994,32.94,1237,0.235,0.295,0.405,0.315,0.29,23.4
2026_CUTOFF,OFFSPEED,2206,33.27,542,0.211,0.268,0.318,0.265,0.28,-0.5
