PERIOD,TTO,TBF,H,HR,BB,HBP,SO,R_ON_PLAY
2024,1,1439,305,46,112,22,336,126
2024,2,1362,324,41,92,10,281,169
2024,3,779,185,23,54,4,150,83
2024,4+,21,7,1,0,0,2,5
2025,1,1456,291,33,107,15,345,114
2025,2,1383,307,39,93,14,297,143
2025,3,589,133,23,54,7,105,82
2025,4+,4,1,0,0,0,1,1
2026_CUTOFF,1,903,160,25,79,11,243,74
2026_CUTOFF,2,856,197,22,62,8,192,107
2026_CUTOFF,3,450,116,11,34,7,94,67
2026_CUTOFF,4+,6,4,0,0,1,0,1
