PERIOD,PITCHES,CHASE_PCT,WHIFF_PCT,CONTACT_PCT,EV,HARD_HIT_PCT,BARREL_PCT,wOBA,xwOBA
2024,23810,27.19,25.56,74.44,82.79,24.86,4.41,0.311,0.312
2025,23610,26.1,23.68,76.32,83.05,24.95,4.1,0.303,0.308
2026_CUTOFF,15938,30.73,25.45,74.55,82.89,25.09,4.34,0.346,0.324
