PERIOD,G,W,L,RS,RA,R_G,RA_G,DIFF,HOME_W,HOME_L,AWAY_W,AWAY_L,ONE_RUN_W,ONE_RUN_L
2024,162,86,76,735,644,4.537,3.975,91,45,36,41,40,17,21
2025,162,82,80,651,637,4.019,3.932,14,43,38,39,42,24,20
2026_CUTOFF,103,43,60,438,534,4.252,5.184,-96,26,27,17,33,13,14
