PERIOD,TTO,TBF,H,HR,BB,HBP,SO,R_ON_PLAY
2024,1,1451,283,34,115,19,357,116
2024,2,1413,318,45,89,17,329,152
2024,3,908,209,18,70,9,185,83
2024,4+,18,3,0,1,0,5,0
2025,1,1447,308,47,113,9,338,126
2025,2,1395,290,35,102,11,295,134
2025,3,790,192,27,63,4,150,92
2025,4+,15,3,0,3,0,3,1
2026_CUTOFF,1,914,196,28,86,6,197,103
2026_CUTOFF,2,864,222,35,66,8,159,113
2026_CUTOFF,3,528,112,14,51,3,111,63
2026_CUTOFF,4+,16,4,0,1,0,2,2
