PERIOD,ROLE,IP,H,ER,HR,BB,HBP,SO,BF,ERA,WHIP,K9,BB9,HR9,K_PCT,BB_PCT,K_BB_PCT,FIP
2024,BULLPEN,517.0,490,237,49,196,25,463,2222,4.126,1.327,8.06,3.412,0.853,20.84,8.82,12.02,3.889
2024,STARTER,911.0,813,359,97,276,45,876,3785,3.547,1.195,8.654,2.727,0.958,23.14,7.29,15.85,3.684
2025,BULLPEN,562.667,515,227,62,197,21,485,2362,3.631,1.265,7.758,3.151,0.992,20.53,8.34,12.19,4.006
2025,STARTER,874.0,793,369,109,281,24,786,3635,3.8,1.229,8.094,2.894,1.122,21.62,7.73,13.89,4.005
2026_CUTOFF,BULLPEN,364.667,380,218,62,187,22,311,1632,5.38,1.555,7.676,4.615,1.53,19.06,11.46,7.6,5.32
2026_CUTOFF,STARTER,543.0,534,280,77,204,17,469,2314,4.641,1.359,7.773,3.381,1.276,20.27,8.82,11.45,4.433
