PERIOD,P_THROWS,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA
2024,L,1504,0.243,0.294,0.379,0.304,0.305
2024,R,4485,0.25,0.311,0.412,0.324,0.327
2025,L,1437,0.236,0.303,0.356,0.303,0.312
2025,R,4579,0.251,0.311,0.41,0.322,0.325
2026_CUTOFF,L,1180,0.254,0.316,0.395,0.325,0.313
2026_CUTOFF,R,2709,0.245,0.316,0.4,0.325,0.321
