PERIOD,FAMILY,PITCHES,WHIFF_PCT,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA,RUN_VALUE
2024,FASTBALL,12478,15.11,3289,0.26,0.326,0.422,0.335,0.35,-39.6
2024,BREAKING,7157,28.95,1799,0.228,0.27,0.37,0.287,0.275,1.7
2024,OFFSPEED,3092,26.59,871,0.248,0.29,0.408,0.316,0.3,20.1
2025,FASTBALL,12679,15.28,3372,0.252,0.329,0.407,0.334,0.346,-60.1
2025,BREAKING,6951,25.24,1689,0.251,0.286,0.407,0.307,0.293,15.5
2025,OFFSPEED,3147,26.9,894,0.214,0.25,0.331,0.26,0.269,-16.8
2026_CUTOFF,FASTBALL,8264,15.05,2163,0.261,0.343,0.427,0.346,0.346,-14.7
2026_CUTOFF,BREAKING,4494,30.01,1145,0.221,0.271,0.348,0.284,0.28,-1.2
2026_CUTOFF,OFFSPEED,1973,27.44,554,0.249,0.288,0.393,0.313,0.281,15.1
