PERIOD,PITCHES,CHASE_PCT,WHIFF_PCT,CONTACT_PCT,EV,HARD_HIT_PCT,BARREL_PCT,wOBA,xwOBA
2024,22841,29.84,20.9,79.1,83.32,26.05,3.97,0.319,0.322
2025,22950,28.66,19.87,80.13,83.67,26.92,4.37,0.318,0.322
2026_CUTOFF,14819,30.48,21.27,78.73,82.89,26.39,4.43,0.325,0.319
