PERIOD,P_THROWS,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA
2024,L,1661,0.253,0.317,0.432,0.335,0.32
2024,R,4520,0.249,0.315,0.437,0.335,0.333
2025,L,1699,0.231,0.297,0.364,0.301,0.297
2025,R,4335,0.237,0.307,0.406,0.322,0.319
2026_CUTOFF,L,1141,0.232,0.309,0.389,0.316,0.315
2026_CUTOFF,R,2689,0.24,0.326,0.401,0.33,0.33
