PERIOD,ROLE,IP,H,ER,HR,BB,HBP,SO,BF,ERA,WHIP,K9,BB9,HR9,K_PCT,BB_PCT,K_BB_PCT,FIP
2024,BULLPEN,560.667,479,263,64,209,28,571,2361,4.222,1.227,9.166,3.355,1.027,24.18,8.85,15.33,3.881
2024,STARTER,881.333,824,369,111,272,25,809,3710,3.768,1.244,8.261,2.778,1.134,21.81,7.33,14.47,3.978
2025,BULLPEN,603.0,581,306,81,276,22,630,2633,4.567,1.421,9.403,4.119,1.209,23.93,10.48,13.44,4.274
2025,STARTER,829.667,852,429,136,247,26,721,3533,4.654,1.325,7.821,2.679,1.475,20.41,6.99,13.42,4.515
2026_CUTOFF,BULLPEN,362.333,331,167,43,131,10,334,1541,4.148,1.275,8.296,3.254,1.068,21.67,8.5,13.17,3.961
2026_CUTOFF,STARTER,535.333,533,253,67,214,15,467,2314,4.253,1.395,7.851,3.598,1.126,20.18,9.25,10.93,4.26
