PERIOD,TTO,TBF,H,HR,BB,HBP,SO,R_ON_PLAY
2024,1,1454,306,44,107,9,312,132
2024,2,1428,315,37,95,8,313,144
2024,3,826,202,30,69,8,181,108
2024,4+,12,1,0,1,0,3,1
2025,1,1441,342,64,105,8,326,161
2025,2,1360,328,52,94,9,263,178
2025,3,731,182,20,47,9,131,84
2025,4+,8,0,0,1,0,1,0
2026_CUTOFF,1,898,192,26,78,8,202,85
2026_CUTOFF,2,873,221,25,77,4,164,119
2026_CUTOFF,3,532,116,16,57,3,97,62
2026_CUTOFF,4+,17,4,0,2,0,4,3
