PERIOD,PITCHES,CHASE_PCT,WHIFF_PCT,CONTACT_PCT,EV,HARD_HIT_PCT,BARREL_PCT,wOBA,xwOBA
2024,24201,29.05,22.26,77.74,83.2,25.43,4.59,0.335,0.329
2025,23711,27.48,24.8,75.2,83.25,25.64,4.77,0.316,0.313
2026_CUTOFF,15274,27.99,24.46,75.54,83.27,25.48,4.34,0.326,0.326
