PERIOD,FAMILY,PITCHES,WHIFF_PCT,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA,RUN_VALUE
2024,FASTBALL,13423,16.82,3342,0.262,0.338,0.452,0.353,0.35,24.9
2024,BREAKING,6990,28.72,1774,0.237,0.286,0.43,0.316,0.302,33.2
2024,OFFSPEED,3671,29.57,1036,0.23,0.278,0.393,0.301,0.302,20.4
2025,FASTBALL,12985,18.2,3319,0.252,0.333,0.418,0.339,0.341,-43.9
2025,BREAKING,6946,33.15,1698,0.216,0.27,0.381,0.292,0.282,9.9
2025,OFFSPEED,3591,34.09,956,0.206,0.252,0.326,0.261,0.257,-13.4
2026_CUTOFF,FASTBALL,8045,17.89,2021,0.262,0.362,0.453,0.365,0.362,12.7
2026_CUTOFF,BREAKING,4950,34.05,1208,0.198,0.272,0.335,0.278,0.283,-15.9
2026_CUTOFF,OFFSPEED,2239,28.3,588,0.241,0.278,0.35,0.288,0.287,8.8
