PERIOD,FRV_TOTAL,INF_OF_RUNS,RANGE_RUNS,ARM_RUNS,DP_RUNS,REC_1B_RUNS,CATCHING_RUNS,FRAMING_RUNS,THROWING_RUNS,BLOCKING_RUNS,TOP_DELTA,CATCH_DELTA
2024,-12.757,-12.498,-6.663,-2.597,-4.529,1.292,-0.26,-2.138,0.847,1.031,-0.0,0.0
2025,-22.777,-20.977,-20.21,-0.36,-0.024,-0.383,-1.8,0.722,-0.52,-2.002,0.0,-0.0
2026_CUTOFF,-16.123,-23.248,-17.061,-0.304,-1.051,-4.831,7.124,0.903,4.48,1.742,0.0,0.0
