PERIOD,ROLE,IP,H,ER,HR,BB,HBP,SO,BF,ERA,WHIP,K9,BB9,HR9,K_PCT,BB_PCT,K_BB_PCT,FIP
2024,BULLPEN,572.0,518,240,62,185,26,596,2408,3.776,1.229,9.378,2.911,0.976,24.75,7.68,17.07,3.598
2024,STARTER,867.333,778,377,107,277,41,857,3621,3.912,1.216,8.893,2.874,1.11,23.67,7.65,16.02,3.894
2025,BULLPEN,609.0,462,207,56,241,29,648,2513,3.059,1.154,9.576,3.562,0.828,25.79,9.59,16.2,3.532
2025,STARTER,824.0,735,373,122,294,36,777,3468,4.074,1.249,8.487,3.211,1.333,22.4,8.48,13.93,4.375
2026_CUTOFF,BULLPEN,429.333,387,180,46,168,20,430,1815,3.773,1.293,9.014,3.522,0.964,23.69,9.26,14.44,3.799
2026_CUTOFF,STARTER,470.667,456,246,66,199,21,399,2027,4.704,1.392,7.63,3.805,1.262,19.68,9.82,9.87,4.625
