PERIOD,FRV_TOTAL,INF_OF_RUNS,RANGE_RUNS,ARM_RUNS,DP_RUNS,REC_1B_RUNS,CATCHING_RUNS,FRAMING_RUNS,THROWING_RUNS,BLOCKING_RUNS,TOP_DELTA,CATCH_DELTA
2024,-17.431,0.053,4.238,1.158,-4.119,-1.224,-17.485,-7.766,-5.181,-4.538,0.0,0.0
2025,-9.078,-5.116,-4.987,7.341,-0.057,-7.412,-3.963,-1.05,-1.563,-1.349,0.0,0.0
2026_CUTOFF,18.97,19.062,6.782,7.121,3.534,1.624,-0.092,-5.017,3.986,0.939,0.0,-0.0
