PERIOD,TTO,TBF,H,HR,BB,HBP,SO,R_ON_PLAY
2024,1,1453,305,43,107,16,393,129
2024,2,1422,305,45,107,15,301,167
2024,3,751,166,19,62,10,162,77
2024,4+,7,2,0,1,0,1,1
2025,1,1450,290,42,120,17,345,125
2025,2,1385,304,55,111,13,306,162
2025,3,629,139,25,63,6,122,73
2025,4+,12,2,0,0,0,4,0
2026_CUTOFF,1,879,191,34,82,7,198,100
2026_CUTOFF,2,819,184,20,76,8,152,81
2026_CUTOFF,3,332,79,11,41,6,48,42
2026_CUTOFF,4+,3,2,1,0,0,1,1
