PERIOD,FAMILY,PITCHES,WHIFF_PCT,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA,RUN_VALUE
2024,FASTBALL,14059,13.4,3531,0.271,0.343,0.42,0.347,0.358,-19.3
2024,BREAKING,6730,26.53,1749,0.249,0.292,0.42,0.314,0.295,44.4
2024,OFFSPEED,2774,25.23,784,0.261,0.294,0.423,0.321,0.319,28.4
2025,FASTBALL,13136,15.27,3395,0.264,0.344,0.401,0.341,0.346,-49.0
2025,BREAKING,7299,27.79,1877,0.248,0.294,0.4,0.314,0.295,38.0
2025,OFFSPEED,3001,30.99,797,0.214,0.27,0.324,0.273,0.282,-7.9
2026_CUTOFF,FASTBALL,8280,17.21,2130,0.249,0.339,0.411,0.346,0.357,-18.3
2026_CUTOFF,BREAKING,4500,32.2,1070,0.211,0.266,0.367,0.281,0.266,0.6
2026_CUTOFF,OFFSPEED,2040,30.88,554,0.19,0.241,0.299,0.249,0.248,-9.7
