PERIOD,P_THROWS,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA
2024,L,1620,0.239,0.31,0.38,0.316,0.322
2024,R,4492,0.272,0.33,0.434,0.343,0.341
2025,L,1857,0.244,0.316,0.375,0.321,0.317
2025,R,4247,0.256,0.323,0.397,0.327,0.326
2026_CUTOFF,L,881,0.234,0.299,0.372,0.306,0.303
2026_CUTOFF,R,2902,0.228,0.309,0.386,0.319,0.322
