PERIOD,G,W,L,RS,RA,R_G,RA_G,DIFF,HOME_W,HOME_L,AWAY_W,AWAY_L,ONE_RUN_W,ONE_RUN_L
2024,162,93,69,760,669,4.691,4.13,91,45,36,48,33,22,19
2025,162,90,72,702,621,4.333,3.833,81,52,29,38,43,30,23
2026_CUTOFF,102,50,52,421,450,4.127,4.412,-29,27,24,23,28,13,15
