PERIOD,P_THROWS,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA
2024,L,1919,0.27,0.342,0.441,0.353,0.34
2024,R,4261,0.251,0.318,0.417,0.332,0.323
2025,L,1948,0.253,0.322,0.425,0.332,0.323
2025,R,4231,0.261,0.33,0.434,0.343,0.333
2026_CUTOFF,L,1237,0.227,0.302,0.381,0.316,0.311
2026_CUTOFF,R,2610,0.24,0.303,0.412,0.321,0.319
