PERIOD,ROLE,IP,H,ER,HR,BB,HBP,SO,BF,ERA,WHIP,K9,BB9,HR9,K_PCT,BB_PCT,K_BB_PCT,FIP
2024,BULLPEN,539.667,491,236,64,194,36,582,2307,3.936,1.269,9.706,3.235,1.067,25.23,8.41,16.82,3.829
2024,STARTER,903.0,848,382,117,250,24,851,3743,3.807,1.216,8.482,2.492,1.166,22.74,6.68,16.06,3.876
2025,BULLPEN,510.667,488,242,74,189,18,505,2201,4.265,1.326,8.9,3.331,1.304,22.94,8.59,14.36,4.257
2025,STARTER,929.667,854,365,103,246,34,966,3825,3.534,1.183,9.352,2.381,0.997,25.25,6.43,18.82,3.401
2026_CUTOFF,BULLPEN,363.667,352,179,45,138,25,400,1587,4.43,1.347,9.899,3.415,1.114,25.2,8.7,16.51,3.849
2026_CUTOFF,STARTER,549.667,549,253,80,163,19,604,2335,4.143,1.295,9.89,2.669,1.31,25.87,6.98,18.89,3.783
