PERIOD,FRV_TOTAL,INF_OF_RUNS,RANGE_RUNS,ARM_RUNS,DP_RUNS,REC_1B_RUNS,CATCHING_RUNS,FRAMING_RUNS,THROWING_RUNS,BLOCKING_RUNS,TOP_DELTA,CATCH_DELTA
2024,-3.45,2.223,6.279,2.936,-6.407,-0.586,-5.673,-11.52,5.938,-0.091,-0.0,-0.0
2025,-15.259,-9.843,4.161,-2.053,-10.753,-1.198,-5.416,-10.597,6.284,-1.103,0.0,-0.0
2026_CUTOFF,-15.529,-23.991,-10.643,-2.056,-5.468,-5.824,8.462,3.224,4.314,0.924,-0.0,-0.0
