PERIOD,TTO,TBF,H,HR,BB,HBP,SO,R_ON_PLAY
2024,1,1443,323,43,97,10,336,124
2024,2,1388,321,45,96,10,319,155
2024,3,889,198,29,55,4,189,102
2024,4+,33,6,0,2,0,7,1
2025,1,1457,329,38,89,12,421,126
2025,2,1413,314,42,90,14,327,137
2025,3,934,202,21,63,8,209,84
2025,4+,36,9,2,4,0,9,5
2026_CUTOFF,1,913,206,27,56,10,246,84
2026_CUTOFF,2,867,220,35,60,8,221,113
2026_CUTOFF,3,540,118,18,45,1,131,52
2026_CUTOFF,4+,20,5,0,2,0,6,1
