PERIOD,PITCHES,CHASE_PCT,WHIFF_PCT,CONTACT_PCT,EV,HARD_HIT_PCT,BARREL_PCT,wOBA,xwOBA
2024,23855,29.87,23.61,76.39,82.75,24.41,4.11,0.338,0.328
2025,24040,30.02,23.51,76.49,83.31,26.03,4.73,0.339,0.33
2026_CUTOFF,15002,33.63,24.04,75.96,83.42,25.56,4.07,0.319,0.316
