PERIOD,FAMILY,PITCHES,WHIFF_PCT,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA,RUN_VALUE
2024,FASTBALL,12971,16.46,3383,0.276,0.357,0.452,0.361,0.364,36.5
2024,BREAKING,7681,32.39,1942,0.24,0.285,0.405,0.308,0.28,30.0
2024,OFFSPEED,3003,31.92,796,0.225,0.273,0.366,0.304,0.284,12.8
2025,FASTBALL,12512,15.75,3187,0.279,0.357,0.467,0.366,0.364,35.6
2025,BREAKING,8164,33.21,2079,0.233,0.288,0.392,0.306,0.287,25.4
2025,OFFSPEED,3132,29.04,853,0.246,0.292,0.391,0.307,0.295,17.8
2026_CUTOFF,FASTBALL,8185,17.08,2088,0.259,0.338,0.439,0.349,0.344,-0.8
2026_CUTOFF,BREAKING,4802,32.57,1211,0.21,0.26,0.369,0.283,0.281,-11.5
2026_CUTOFF,OFFSPEED,1968,31.72,536,0.209,0.251,0.343,0.277,0.284,4.9
