ORDER,BATTER_ID,BATTER,STAND
1,678011,Anthony Seigler,
2,678882,Ceddanne Rafaela,
3,677800,Wilyer Abreu,
4,575929,Willson Contreras,
5,807799,Masataka Yoshida,
6,702332,Caleb Durbin,
7,680776,Jarren Duran,
8,655316,Andruw Monasterio,
9,657136,Connor Wong,
