BATTER_ID,BATTER,ZONE,PITCHES,PA,BBE,SWING_PCT,CHASE_PCT,CONTACT_PCT,WHIFF_PCT,EV,HARD_HIT_PCT,BARREL_PCT,WOBA,XWOBA,STABILITY
678011,Anthony Seigler,HIGH_IN,52,18,21,48.07692307692308,27.586206896551722,84.0,16.0,81.57142857142857,23.809523809523807,9.523809523809524,0.2941176470588236,0.4064125882352942,LIMITED
678011,Anthony Seigler,HIGH_OUT,82,9,12,23.170731707317074,15.686274509803921,68.42105263157895,31.57894736842105,79.44166666666668,16.666666666666664,0.0,0.4111111111111111,0.42955866666666664,LIMITED
678011,Anthony Seigler,LOW_IN,74,23,19,40.54054054054054,32.0,66.66666666666666,33.33333333333333,91.98947368421052,63.1578947368421,0.0,0.2478260869565217,0.3000435652173913,LIMITED
678011,Anthony Seigler,LOW_OUT,71,24,29,50.70422535211267,36.11111111111111,80.55555555555556,19.444444444444446,80.13793103448278,10.344827586206897,0.0,0.26875,0.29475029166666666,LIMITED
678011,Anthony Seigler,MID_IN,48,17,27,64.58333333333334,33.33333333333333,96.7741935483871,3.225806451612903,80.6,18.51851851851852,7.4074074074074066,0.4647058823529412,0.317235705882353,LIMITED
678011,Anthony Seigler,MID_OUT,53,15,26,66.0377358490566,27.27272727272727,82.85714285714286,17.142857142857142,84.54230769230769,15.384615384615385,0.0,0.31333333333333335,0.27093333333333336,LIMITED
678882,Ceddanne Rafaela,HIGH_IN,255,70,100,55.68627450980392,43.53741496598639,78.16901408450704,21.830985915492956,77.391,19.0,1.0,0.47681159420289854,0.36078268115942036,STABLE
678882,Ceddanne Rafaela,HIGH_OUT,262,59,108,55.343511450381676,42.44604316546763,79.3103448275862,20.689655172413794,82.89166666666667,18.51851851851852,1.8518518518518516,0.3271929824561403,0.2824563859649123,STABLE
678882,Ceddanne Rafaela,LOW_IN,197,61,87,63.95939086294417,50.53763440860215,76.98412698412699,23.015873015873016,85.02988505747126,32.18390804597701,3.4482758620689653,0.415,0.3323673666666666,STABLE
678882,Ceddanne Rafaela,LOW_OUT,432,86,96,39.81481481481482,33.6734693877551,61.627906976744185,38.372093023255815,75.51249999999999,12.5,3.125,0.24186046511627907,0.2337212558139535,STABLE
678882,Ceddanne Rafaela,MID_IN,133,45,83,69.17293233082707,58.620689655172406,94.56521739130434,5.434782608695652,80.36506024096386,19.27710843373494,3.614457831325301,0.38,0.29251111111111106,STABLE
678882,Ceddanne Rafaela,MID_OUT,197,76,102,63.45177664974619,44.44444444444444,84.0,16.0,82.56666666666668,16.666666666666664,1.9607843137254901,0.3013333333333333,0.23104009333333328,STABLE
677800,Wilyer Abreu,HIGH_IN,241,59,106,59.75103734439834,44.927536231884055,83.33333333333334,16.666666666666664,76.00849056603774,15.09433962264151,5.660377358490567,0.3622807017543859,0.3435969298245614,STABLE
677800,Wilyer Abreu,HIGH_OUT,437,59,106,35.92677345537758,14.23076923076923,74.52229299363057,25.477707006369428,81.26886792452831,14.150943396226415,3.7735849056603774,0.4110169491525424,0.3444080847457628,STABLE
677800,Wilyer Abreu,LOW_IN,264,74,91,50.0,40.123456790123456,78.78787878787878,21.21212121212121,89.62857142857143,46.15384615384615,13.186813186813188,0.42739726027397257,0.4491924520547944,STABLE
