PITCH_TYPE,FAMILY,PITCHES,PA,BBE,USE_PCT,VELO,VELO_BAND,PFX_X_IN,PFX_Z_IN,SPIN,WOBA_ALLOWED,XWOBA_ALLOWED,WHIFF_PCT,RECENT30_VELO,VELO_DELTA_30D,PFX_X_DELTA_30D,PFX_Z_DELTA_30D
FF,FASTBALL,627,171,226,47.072072072072075,94.33939393939394,HIGH,-4.144688995215311,19.566889952153108,2253.781499202552,0.31608187134502924,0.3039131929824561,17.218543046357617,94.30506912442395,-0.034324814969991735,-0.280933124600357,-0.6594245143650932
FS,OFFSPEED,387,93,97,29.054054054054053,82.87416020671836,LOW,-11.644961240310078,6.663565891472869,1393.9509043927649,0.21956521739130433,0.2610222934782609,39.64497041420118,82.77522123893806,-0.09893896778029898,0.30761610756671587,-0.1793181038622489
SL,BREAKING,318,71,85,23.873873873873872,87.78899371069183,MEDIUM,-3.3841509433962265,5.38188679245283,2268.6635220125786,0.3207142857142857,0.27267242857142854,37.03703703703704,86.93361344537817,-0.8553802653136557,0.7007895988584114,-0.4628951958141745
