BATTER_ID,BATTER,GROUP_TYPE,GROUP,PITCHES,PA,BBE,SWING_PCT,CHASE_PCT,CONTACT_PCT,WHIFF_PCT,EV,HARD_HIT_PCT,BARREL_PCT,WOBA,XWOBA,BB_PCT,K_PCT
678011,Anthony Seigler,COUNT,0-0,107,16,29,33.64485981308411,20.408163265306122,80.55555555555556,19.444444444444446,80.1793103448276,27.586206896551722,6.896551724137931,0.25333333333333335,0.39066666666666666,0.0,0.0
678011,Anthony Seigler,COUNT,0-1,52,14,20,57.692307692307686,23.809523809523807,83.33333333333334,16.666666666666664,85.0,20.0,0.0,0.28214285714285714,0.2595,0.0,0.0
678011,Anthony Seigler,COUNT,0-2,25,5,3,28.000000000000004,14.285714285714285,42.857142857142854,57.14285714285714,80.23333333333333,0.0,0.0,0.25,0.0922,0.0,80.0
678011,Anthony Seigler,COUNT,1-0,38,6,11,44.73684210526316,26.666666666666668,64.70588235294117,35.294117647058826,87.17272727272729,36.36363636363637,9.090909090909092,0.5666666666666667,0.623,0.0,0.0
678011,Anthony Seigler,COUNT,1-1,37,11,18,54.054054054054056,20.0,90.0,10.0,80.8111111111111,22.22222222222222,0.0,0.45454545454545464,0.35427227272727274,0.0,0.0
678011,Anthony Seigler,COUNT,1-2,35,18,14,57.14285714285714,45.0,75.0,25.0,83.61428571428573,21.428571428571427,0.0,0.0,0.10388888888888889,0.0,55.55555555555556
678011,Anthony Seigler,COUNT,2-0,10,2,3,30.0,25.0,100.0,0.0,97.06666666666666,66.66666666666666,0.0,0.45,0.7205,0.0,0.0
678011,Anthony Seigler,COUNT,2-1,20,3,5,35.0,20.0,85.71428571428571,14.285714285714285,84.9,0.0,0.0,0.0,0.17666666666666667,0.0,0.0
678011,Anthony Seigler,COUNT,2-2,29,15,19,75.86206896551724,64.28571428571429,90.9090909090909,9.090909090909092,79.98947368421051,10.526315789473683,0.0,0.12000000000000001,0.14126666666666668,0.0,33.33333333333333
678011,Anthony Seigler,COUNT,3-0,3,0,0,0.0,,,,,,,,,,
678011,Anthony Seigler,COUNT,3-1,11,5,3,45.45454545454545,20.0,60.0,40.0,79.83333333333333,33.33333333333333,0.0,0.9600000000000002,0.6334056,80.0,0.0
678011,Anthony Seigler,COUNT,3-2,14,11,9,64.28571428571429,37.5,100.0,0.0,87.4888888888889,33.33333333333333,11.11111111111111,0.7772727272727272,0.6810031818181819,45.45454545454545,0.0
678011,Anthony Seigler,LEVERAGE,BATTER_AHEAD,82,16,22,39.02439024390244,23.52941176470588,71.875,28.125,87.00454545454544,31.818181818181817,4.545454545454546,0.5687500000000001,0.5547517500000001,25.0,0.0
678011,Anthony Seigler,LEVERAGE,EVEN_FULL,187,53,75,46.524064171122994,28.57142857142857,87.35632183908046,12.643678160919542,81.16000000000003,22.666666666666664,4.0,0.3682692307692307,0.3724428846153846,9.433962264150944,9.433962264150944
678011,Anthony Seigler,LEVERAGE,PITCHER_AHEAD,112,37,37,50.89285714285714,27.419354838709676,75.43859649122807,24.561403508771928,84.08918918918918,18.91891891891892,0.0,0.14054054054054055,0.16118918918918917,0.0,37.83783783783784
678011,Anthony Seigler,SPECIAL,FIRST_PITCH,107,16,29,33.64485981308411,20.408163265306122,80.55555555555556,19.444444444444446,80.1793103448276,27.586206896551722,6.896551724137931,0.25333333333333335,0.39066666666666666,0.0,0.0
678011,Anthony Seigler,SPECIAL,TWO_STRIKES,103,49,45,56.310679611650485,38.095238095238095,81.03448275862068,18.96551724137931,82.63333333333333,17.77777777777778,2.2222222222222223,0.236734693877551,0.24369459183673467,10.204081632653061,38.775510204081634
678882,Ceddanne Rafaela,COUNT,0-0,397,58,102,37.27959697732997,27.040816326530614,72.2972972972973,27.7027027027027,78.70980392156862,15.686274509803921,3.9215686274509802,0.43660714285714286,0.3470354464285714,0.0,0.0
678882,Ceddanne Rafaela,COUNT,0-1,207,38,83,59.90338164251207,42.71844660194174,73.38709677419355,26.61290322580645,80.72409638554217,19.27710843373494,1.2048192771084338,0.44999999999999996,0.3637835135135135,0.0,0.0
678882,Ceddanne Rafaela,COUNT,0-2,155,57,75,62.58064516129033,50.45045045045045,81.44329896907216,18.556701030927837,76.92133333333332,10.666666666666668,1.3333333333333335,0.3178571428571428,0.18371428571428572,0.0,38.59649122807017
678882,Ceddanne Rafaela,COUNT,1-0,132,17,33,37.121212121212125,21.052631578947366,73.46938775510205,26.53061224489796,81.86363636363635,21.21212121212121,0.0,0.4235294117647059,0.38852911764705883,0.0,0.0
678882,Ceddanne Rafaela,COUNT,1-1,130,24,56,62.30769230769231,49.18032786885246,74.07407407407408,25.925925925925924,84.91964285714285,25.0,3.571428571428571,0.4666666666666666,0.3440833333333333,0.0,0.0
678882,Ceddanne Rafaela,COUNT,1-2,176,82,93,69.88636363636364,58.620689655172406,84.5528455284553,15.447154471544716,81.64731182795698,22.58064516129032,2.1505376344086025,0.2462962962962963,0.21744444444444444,0.0,32.926829268292686
678882,Ceddanne Rafaela,COUNT,2-0,42,4,9,38.095238095238095,12.5,62.5,37.5,83.72222222222223,11.11111111111111,0.0,0.225,0.20899999999999996,0.0,0.0
678882,Ceddanne Rafaela,COUNT,2-1,56,14,29,73.21428571428571,58.620689655172406,75.60975609756098,24.390243902439025,81.45172413793105,20.689655172413794,0.0,0.3714285714285714,0.27728571428571425,0.0,0.0
678882,Ceddanne Rafaela,COUNT,2-2,106,51,57,71.69811320754717,50.0,78.94736842105263,21.052631578947366,78.03684210526316,21.052631578947366,1.7543859649122806,0.24313725490196078,0.19372549019607846,0.0,39.21568627450981
678882,Ceddanne Rafaela,COUNT,3-0,13,7,4,30.76923076923077,20.0,100.0,0.0,88.675,50.0,25.0,0.7571428571428571,0.5672897142857144,57.14285714285714,0.0
678882,Ceddanne Rafaela,COUNT,3-1,19,12,8,57.89473684210527,0.0,90.9090909090909,9.090909090909092,89.275,37.5,0.0,0.6333333333333334,0.6019207500000001,58.333333333333336,0.0
678882,Ceddanne Rafaela,COUNT,3-2,44,33,27,72.72727272727273,38.46153846153847,90.625,9.375,83.32962962962962,22.22222222222222,7.4074074074074066,0.2515151515151515,0.3053651212121212,21.21212121212121,24.242424242424242
678882,Ceddanne Rafaela,LEVERAGE,BATTER_AHEAD,262,54,83,46.18320610687023,28.07017543859649,75.20661157024794,24.793388429752067,82.96385542168674,22.89156626506024,1.2048192771084338,0.48518518518518516,0.4169828148148148,20.37037037037037,0.0
678882,Ceddanne Rafaela,LEVERAGE,EVEN_FULL,677,166,242,49.77843426883309,35.40372670807454,75.96439169139467,24.03560830860534,80.50371900826447,19.834710743801654,3.71900826446281,0.34359756097560973,0.29054289024390245,4.216867469879518,16.867469879518072
678882,Ceddanne Rafaela,LEVERAGE,PITCHER_AHEAD,538,177,251,63.94052044609665,50.90909090909091,79.65116279069767,20.348837209302324,79.92988047808764,17.928286852589643,1.593625498007968,0.3126436781609196,0.23770683908045978,0.0,27.683615819209038
678882,Ceddanne Rafaela,SPECIAL,FIRST_PITCH,397,58,102,37.27959697732997,27.040816326530614,72.2972972972973,27.7027027027027,78.70980392156862,15.686274509803921,3.9215686274509802,0.43660714285714286,0.3470354464285714,0.0,0.0
678882,Ceddanne Rafaela,SPECIAL,TWO_STRIKES,481,223,252,68.1912681912682,53.082191780821915,82.92682926829268,17.073170731707318,79.6043650793651,18.650793650793652,2.380952380952381,0.2644796380090498,0.216552257918552,3.1390134529147984,34.52914798206278
677800,Wilyer Abreu,COUNT,0-0,431,38,89,27.1461716937355,16.74418604651163,84.61538461538461,15.384615384615385,83.03033707865168,21.34831460674157,4.49438202247191,0.40657894736842104,0.3740789473684211,0.0,0.0
677800,Wilyer Abreu,COUNT,0-1,218,43,76,52.752293577981646,30.64516129032258,75.65217391304347,24.347826086956523,82.1842105263158,27.631578947368425,6.578947368421052,0.5309523809523808,0.44757142857142845,0.0,0.0
677800,Wilyer Abreu,COUNT,0-2,113,44,42,56.63716814159292,38.15789473684211,71.875,28.125,83.5952380952381,21.428571428571427,2.380952380952381,0.17954545454545454,0.16790909090909092,0.0,54.54545454545454
677800,Wilyer Abreu,COUNT,1-0,175,35,56,45.714285714285715,26.923076923076923,72.5,27.500000000000004,84.89642857142859,30.357142857142854,3.571428571428571,0.24714285714285716,0.3249142857142857,0.0,0.0
677800,Wilyer Abreu,COUNT,1-1,171,34,62,54.385964912280706,25.0,75.26881720430107,24.731182795698924,79.5483870967742,22.58064516129032,8.064516129032258,0.4393939393939394,0.4568786363636363,0.0,0.0
677800,Wilyer Abreu,COUNT,1-2,166,60,67,60.24096385542169,43.859649122807014,76.0,24.0,80.39104477611939,28.35820895522388,5.970149253731343,0.1652542372881356,0.20067796610169492,0.0,46.666666666666664
677800,Wilyer Abreu,COUNT,2-0,54,12,24,46.2962962962963,17.391304347826086,96.0,4.0,82.35000000000001,20.833333333333336,8.333333333333332,0.5541666666666667,0.4095829166666667,0.0,0.0
677800,Wilyer Abreu,COUNT,2-1,84,19,32,59.523809523809526,30.76923076923077,82.0,18.0,86.28125,31.25,12.5,0.43333333333333335,0.5002777777777778,0.0,0.0
677800,Wilyer Abreu,COUNT,2-2,147,63,80,71.42857142857143,54.21686746987952,79.04761904761905,20.952380952380953,81.6825,18.75,5.0,0.16587301587301587,0.20407936507936505,0.0,42.857142857142854
677800,Wilyer Abreu,COUNT,3-0,18,6,0,0.0,0.0,,,,,,0.8999999999999998,0.898007,100.0,0.0
677800,Wilyer Abreu,COUNT,3-1,38,24,16,55.26315789473685,35.0,80.95238095238095,19.047619047619047,84.21875,31.25,12.5,0.5958333333333333,0.5770037916666667,54.166666666666664,0.0
