PERIOD,TTO,TBF,H,HR,BB,HBP,SO,R_ON_PLAY
2025,1,1458,292,37,140,11,354,130
2025,2,1427,327,45,116,6,297,137
2025,3,829,180,35,71,6,154,109
2025,4+,32,10,2,1,0,5,6
2026_CUTOFF,1,918,181,30,75,6,238,74
2026_CUTOFF,2,910,200,26,81,4,204,88
2026_CUTOFF,3,509,120,20,37,1,101,72
2026_CUTOFF,4+,7,3,0,1,0,2,1
