BATTER,BATTER_ID,ROSTER_POSITION,ACTIVE_ROSTER
Anthony Seigler,678011,2B,True
Ceddanne Rafaela,678882,CF,True
Wilyer Abreu,677800,RF,True
Willson Contreras,575929,1B,True
Masataka Yoshida,807799,DH,True
Caleb Durbin,702332,3B,True
Jarren Duran,680776,LF,True
Andruw Monasterio,655316,SS,True
Connor Wong,657136,C,True
Carlos Narváez,665966,C,True
Tsung-Che Cheng,691907,SS,True
Romy Gonzalez,663853,DH,True
Jahmai Jones,663330,DH,True
