GAME_DATE,GAME_PK,BATTER_ID,BATTER,STATUS,ORDER,POSITION,OPP_STARTER_HAND,REST_REASON,SOURCE,CUTOFF
2026-07-17,824766,678882,Ceddanne Rafaela,STARTER,2.0,CF,R,STARTED,MLB feed/live,2026-07-23
2026-07-17,824737,657136,Connor Wong,STARTER,8.0,C,R,STARTED,MLB feed/live,2026-07-23
2026-07-17,824766,657136,Connor Wong,NOT_START,,BENCH_OR_ABSENT,R,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
2026-07-17,824737,663330,Jahmai Jones,SUB_USED,,BENCH_OR_ABSENT,R,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
2026-07-17,824766,663330,Jahmai Jones,NOT_START,,BENCH_OR_ABSENT,R,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
2026-07-17,824737,680776,Jarren Duran,STARTER,7.0,LF,R,STARTED,MLB feed/live,2026-07-23
2026-07-17,824766,680776,Jarren Duran,STARTER,7.0,LF,R,STARTED,MLB feed/live,2026-07-23
2026-07-17,824737,807799,Masataka Yoshida,STARTER,5.0,DH,R,STARTED,MLB feed/live,2026-07-23
2026-07-17,824766,807799,Masataka Yoshida,STARTER,5.0,DH,R,STARTED,MLB feed/live,2026-07-23
2026-07-17,824737,663853,Romy Gonzalez,NOT_START,,BENCH_OR_ABSENT,R,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
2026-07-17,824766,663853,Romy Gonzalez,STARTER,6.0,1B,R,STARTED,MLB feed/live,2026-07-23
2026-07-17,824737,691907,Tsung-Che Cheng,STARTER,9.0,SS,R,STARTED,MLB feed/live,2026-07-23
2026-07-17,824766,691907,Tsung-Che Cheng,STARTER,9.0,SS,R,STARTED,MLB feed/live,2026-07-23
2026-07-17,824737,575929,Willson Contreras,STARTER,4.0,1B,R,STARTED,MLB feed/live,2026-07-23
2026-07-17,824766,575929,Willson Contreras,NOT_START,,BENCH_OR_ABSENT,R,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
2026-07-17,824737,677800,Wilyer Abreu,STARTER,3.0,RF,R,STARTED,MLB feed/live,2026-07-23
2026-07-17,824766,677800,Wilyer Abreu,STARTER,3.0,RF,R,STARTED,MLB feed/live,2026-07-23
2026-07-18,824738,655316,Andruw Monasterio,STARTER,7.0,SS,L,STARTED,MLB feed/live,2026-07-23
2026-07-18,824738,678011,Anthony Seigler,STARTER,1.0,2B,L,STARTED,MLB feed/live,2026-07-23
2026-07-18,824738,702332,Caleb Durbin,STARTER,6.0,3B,L,STARTED,MLB feed/live,2026-07-23
2026-07-18,824738,665966,Carlos Narváez,STARTER,9.0,C,L,STARTED,MLB feed/live,2026-07-23
2026-07-18,824738,678882,Ceddanne Rafaela,STARTER,2.0,CF,L,STARTED,MLB feed/live,2026-07-23
2026-07-18,824738,657136,Connor Wong,SUB_USED,,BENCH_OR_ABSENT,L,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
2026-07-18,824738,663330,Jahmai Jones,STARTER,8.0,LF,L,STARTED,MLB feed/live,2026-07-23
2026-07-18,824738,680776,Jarren Duran,SUB_USED,,BENCH_OR_ABSENT,L,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
2026-07-18,824738,807799,Masataka Yoshida,SUB_USED,,BENCH_OR_ABSENT,L,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
2026-07-18,824738,663853,Romy Gonzalez,STARTER,5.0,DH,L,STARTED,MLB feed/live,2026-07-23
2026-07-18,824738,691907,Tsung-Che Cheng,NOT_START,,BENCH_OR_ABSENT,L,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
2026-07-18,824738,575929,Willson Contreras,STARTER,4.0,1B,L,STARTED,MLB feed/live,2026-07-23
2026-07-18,824738,677800,Wilyer Abreu,STARTER,3.0,RF,L,STARTED,MLB feed/live,2026-07-23
2026-07-19,824739,655316,Andruw Monasterio,STARTER,7.0,SS,L,STARTED,MLB feed/live,2026-07-23
2026-07-19,824739,678011,Anthony Seigler,NOT_START,,BENCH_OR_ABSENT,L,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
2026-07-19,824739,702332,Caleb Durbin,STARTER,5.0,3B,L,STARTED,MLB feed/live,2026-07-23
2026-07-19,824739,665966,Carlos Narváez,NOT_START,,BENCH_OR_ABSENT,L,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
2026-07-19,824739,678882,Ceddanne Rafaela,STARTER,2.0,CF,L,STARTED,MLB feed/live,2026-07-23
2026-07-19,824739,657136,Connor Wong,STARTER,9.0,C,L,STARTED,MLB feed/live,2026-07-23
2026-07-19,824739,663330,Jahmai Jones,STARTER,1.0,DH,L,STARTED,MLB feed/live,2026-07-23
2026-07-19,824739,680776,Jarren Duran,STARTER,8.0,LF,L,STARTED,MLB feed/live,2026-07-23
2026-07-19,824739,807799,Masataka Yoshida,NOT_START,,BENCH_OR_ABSENT,L,No public rest reason identified in official feed; no cause imputed.,MLB feed/live,2026-07-23
