ORDER,BATTER_ID,BATTER,POSITION
1,678011,Anthony Seigler,2B
2,678882,Ceddanne Rafaela,CF
3,677800,Wilyer Abreu,RF
4,575929,Willson Contreras,1B
5,807799,Masataka Yoshida,DH
6,702332,Caleb Durbin,3B
7,680776,Jarren Duran,LF
8,655316,Andruw Monasterio,SS
9,657136,Connor Wong,C
