PERIOD,G,W,L,RS,RA,R_G,RA_G,DIFF,HOME_W,HOME_L,AWAY_W,AWAY_L,ONE_RUN_W,ONE_RUN_L
2024,162,98,64,842,686,5.198,4.235,156,52,29,46,35,21,17
2025,162,93,69,825,683,5.093,4.216,142,52,29,41,40,25,24
2026_CUTOFF,103,65,38,535,378,5.194,3.67,157,31,19,34,19,19,13
