PERIOD,FRV_TOTAL,INF_OF_RUNS,RANGE_RUNS,ARM_RUNS,DP_RUNS,REC_1B_RUNS,CATCHING_RUNS,FRAMING_RUNS,THROWING_RUNS,BLOCKING_RUNS,TOP_DELTA,CATCH_DELTA
2024,-6.789,-2.073,-3.762,-1.333,2.93,0.092,-4.716,-7.11,4.531,-2.137,-0.0,0.0
2025,4.936,13.8,5.221,2.284,0.681,5.615,-8.864,-10.131,2.79,-1.523,-0.0,0.0
2026_CUTOFF,18.566,25.157,14.797,5.819,1.295,3.246,-6.591,-5.796,-0.822,0.027,0.0,0.0
