PERIOD,PITCHES,CHASE_PCT,WHIFF_PCT,CONTACT_PCT,EV,HARD_HIT_PCT,BARREL_PCT,wOBA,xwOBA
2024,24919,25.37,22.77,77.23,82.89,24.47,4.77,0.348,0.342
2025,24479,25.77,23.79,76.21,83.75,26.02,5.34,0.342,0.338
2026_CUTOFF,15738,26.73,21.68,78.32,83.13,24.98,4.91,0.347,0.348
