PERIOD,FAMILY,PITCHES,WHIFF_PCT,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA,RUN_VALUE
2024,FASTBALL,14055,16.78,3577,0.277,0.359,0.458,0.364,0.361,53.9
2024,BREAKING,7504,31.1,1792,0.223,0.283,0.42,0.31,0.3,31.7
2024,OFFSPEED,3039,30.87,807,0.254,0.306,0.451,0.336,0.325,35.7
2025,FASTBALL,13240,17.52,3378,0.266,0.347,0.461,0.359,0.368,32.8
2025,BREAKING,7879,31.87,1950,0.232,0.294,0.408,0.313,0.298,32.7
2025,OFFSPEED,3151,30.58,808,0.237,0.288,0.419,0.316,0.291,35.5
2026_CUTOFF,FASTBALL,8552,16.53,2190,0.281,0.367,0.474,0.375,0.38,35.0
2026_CUTOFF,BREAKING,4541,28.27,1102,0.243,0.317,0.402,0.322,0.314,25.8
2026_CUTOFF,OFFSPEED,2519,28.92,635,0.222,0.278,0.344,0.284,0.286,1.6
