PERIOD,TTO,TBF,H,HR,BB,HBP,SO,R_ON_PLAY
2024,1,1422,320,49,114,9,325,153
2024,2,1304,271,44,98,8,308,140
2024,3,628,144,27,56,0,128,80
2024,4+,13,6,0,0,0,3,1
2025,1,1406,283,43,134,8,347,142
2025,2,1245,244,38,105,13,325,125
2025,3,599,113,12,54,6,146,65
2025,4+,4,2,1,0,0,0,1
2026_CUTOFF,1,909,176,30,64,11,255,83
2026_CUTOFF,2,862,167,29,59,10,184,75
2026_CUTOFF,3,524,108,15,35,4,114,48
2026_CUTOFF,4+,20,5,2,0,1,4,4
