PERIOD,P_THROWS,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA
2024,L,1744,0.269,0.337,0.458,0.352,0.348
2024,R,4523,0.253,0.334,0.442,0.346,0.339
2025,L,1711,0.255,0.319,0.446,0.34,0.331
2025,R,4484,0.252,0.331,0.439,0.343,0.341
2026_CUTOFF,L,1140,0.246,0.328,0.412,0.339,0.339
2026_CUTOFF,R,2826,0.265,0.346,0.439,0.351,0.352
