PERIOD,ROLE,IP,H,ER,HR,BB,HBP,SO,BF,ERA,WHIP,K9,BB9,HR9,K_PCT,BB_PCT,K_BB_PCT,FIP
2024,BULLPEN,551.333,469,224,72,218,33,592,2328,3.657,1.246,9.664,3.559,1.175,25.43,9.36,16.07,4.082
2024,STARTER,880.667,769,373,111,326,28,887,3690,3.812,1.243,9.065,3.332,1.134,24.04,8.83,15.2,3.996
2025,BULLPEN,579.333,481,238,81,224,21,647,2425,3.697,1.217,10.051,3.48,1.258,26.68,9.24,17.44,3.988
2025,STARTER,862.667,776,381,118,284,37,857,3616,3.975,1.229,8.941,2.963,1.231,23.7,7.85,15.85,4.043
2026_CUTOFF,BULLPEN,413.333,358,193,60,191,17,414,1763,4.202,1.328,9.015,4.159,1.306,23.48,10.83,12.65,4.489
2026_CUTOFF,STARTER,508.0,471,291,82,262,45,501,2243,5.156,1.443,8.876,4.642,1.453,22.34,11.68,10.66,5.035
