PERIOD,P_THROWS,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA
2024,L,1679,0.269,0.328,0.424,0.341,0.323
2024,R,4438,0.259,0.32,0.416,0.332,0.33
2025,L,1314,0.252,0.326,0.414,0.331,0.325
2025,R,4784,0.249,0.312,0.394,0.321,0.312
2026_CUTOFF,L,972,0.235,0.306,0.392,0.318,0.321
2026_CUTOFF,R,2949,0.244,0.318,0.42,0.335,0.322
