PERIOD,FAMILY,PITCHES,WHIFF_PCT,PA_TERMINAL,BA,OBP,SLG,wOBA,xwOBA,RUN_VALUE
2024,FASTBALL,12262,15.2,3378,0.281,0.348,0.439,0.355,0.354,27.1
2024,BREAKING,7057,30.72,1875,0.24,0.283,0.394,0.3,0.287,10.9
2024,OFFSPEED,2985,29.1,810,0.24,0.285,0.4,0.312,0.3,24.0
2025,FASTBALL,12412,16.42,3326,0.277,0.355,0.433,0.355,0.348,4.6
2025,BREAKING,7476,31.77,1936,0.224,0.269,0.362,0.287,0.276,-12.0
2025,OFFSPEED,3049,32.85,812,0.206,0.252,0.354,0.276,0.26,-1.5
2026_CUTOFF,FASTBALL,8409,16.96,2251,0.266,0.352,0.445,0.361,0.353,11.1
2026_CUTOFF,BREAKING,4882,32.58,1144,0.208,0.253,0.383,0.286,0.271,-3.0
2026_CUTOFF,OFFSPEED,1890,30.82,492,0.211,0.254,0.349,0.276,0.274,0.0
