PERIOD,FRV_TOTAL,INF_OF_RUNS,RANGE_RUNS,ARM_RUNS,DP_RUNS,REC_1B_RUNS,CATCHING_RUNS,FRAMING_RUNS,THROWING_RUNS,BLOCKING_RUNS,TOP_DELTA,CATCH_DELTA
2024,6.619,0.348,1.682,-3.553,1.724,0.495,6.271,0.87,3.723,1.678,0.0,0.0
2025,24.308,30.446,23.487,2.156,-1.092,5.896,-6.138,-4.838,-1.959,0.659,0.0,0.0
2026_CUTOFF,-0.66,2.449,-0.741,1.558,0.018,1.615,-3.109,0.151,-1.417,-1.844,0.0,-0.0
