PERIOD,PITCHES,CHASE_PCT,WHIFF_PCT,CONTACT_PCT,EV,HARD_HIT_PCT,BARREL_PCT,wOBA,xwOBA
2024,22475,31.4,21.86,78.14,82.65,24.5,4.17,0.334,0.328
2025,23033,30.2,23.59,76.41,82.54,24.71,4.33,0.324,0.315
2026_CUTOFF,15298,30.43,23.49,76.51,82.59,23.75,4.49,0.331,0.321
